Ind,Gender,age_range,Occ_code,Partner_status,Region,Lodgment_method,PHI_Ind,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal
31892,1,5,5,1,213,A,1,8888,0,0,1488,0,0,0,0,-384,186,133,319,118,0,0,0,0,0,0,0,0,0,0,3923,0,0,198,366,14479,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,0,198,248250,0,0,0,0,0,0,14457,0,918,1297,650,103818
76693,1,6,2,1,205,A,1,83096,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83145,679,0,0,0,1945,0,0,0,0,0,0,2624,0,0,0,0,0,72024,0,0,0,0,0,0,80521,0,7604,0,0,103620
152347,0,8,8,0,115,A,0,43646,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43650,0,0,577,0,705,0,0,0,0,59,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,42309,0,2557,0,0,25460
30954,0,4,2,1,207,A,1,308183,34477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40205,0,0,0,0,1516,22347,366523,14381,0,0,0,4408,0,0,1314,0,1662,0,21765,0,0,0,0,1516,14230,0,12336,0,0,0,0,344758,0,7317,0,32475,2059379
121433,0,8,7,0,317,A,0,94447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94447,0,818,201,0,319,0,0,54,0,162,115,1669,0,0,0,0,0,0,0,0,0,0,0,0,92778,0,5761,0,0,37425
194803,0,4,8,0,319,A,1,57937,0,0,1873,0,21,51,21,0,0,0,0,0,0,0,14442,0,14442,0,0,0,0,0,18132,0,0,0,0,92477,0,0,774,0,35,0,0,0,0,142,1666,2617,0,0,0,0,0,0,0,8480,7846,0,0,0,89860,0,11796,384,0,160886
187890,1,1,0,1,309,A,1,0,0,0,0,0,44,0,0,-3991,0,3175,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487,-460,0,0,0,0,0,0,0,0,0,217,0,217,0,0,0,0,0,3991,0,0,0,0,0,0,0,0,0,0,0,2059379
132567,0,8,1,0,121,A,0,40206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40206,3604,689,643,0,1779,0,0,0,0,366,0,7081,0,0,0,0,0,0,0,0,0,0,0,0,33125,0,2732,0,0,5330
250208,1,10,9,0,107,A,0,25748,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25847,0,0,281,0,0,0,0,0,0,102,0,383,0,0,0,0,0,0,0,0,0,0,0,0,25464,0,2336,0,276,4662
233507,0,9,0,0,111,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17459,0,21059,0,3600,0,0,0,0,0,0,0,0,17459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17459,0,0,0,0,8004
34706,1,2,0,0,319,S,0,0,0,0,0,0,48,629,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,0,258850
256856,0,10,9,0,108,S,1,18206,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18246,0,1622,0,163,2508
156038,1,11,8,0,406,A,0,4985,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81142,0,0,0,0,86479,0,0,135,0,134,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,5157,0,0,0,86210,0,224,0,0,1111
65702,1,7,2,1,106,A,1,39513,0,0,64,0,0,0,0,274,6531,2709,2528,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39851,0,0,0,0,231,0,0,22,0,308,0,561,0,0,0,0,0,87936,0,0,0,0,0,0,39290,0,3626,0,0,81247
165235,0,11,3,0,205,A,0,7525,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7527,0,468,0,0,361
193539,1,4,9,0,313,S,1,56109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56109,0,0,160,0,728,0,0,10,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,55211,0,0,2769,4561,376438
139133,1,7,5,1,314,A,1,19162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12461,24922,0,7643,0,0,0,0,39266,0,0,164,0,178,0,0,0,0,0,0,342,0,0,0,0,0,49402,0,0,0,0,0,0,38924,0,2146,0,0,15569
106200,1,8,1,1,210,A,0,20288,0,0,33,8856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29177,0,0,422,0,0,0,0,9,0,91,0,522,0,0,0,0,0,0,0,0,0,0,0,0,28655,0,794,0,333,19033
45636,0,4,3,1,102,A,0,98625,18903,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117699,20696,835,1607,0,6482,0,0,0,0,145,0,29765,0,0,0,0,0,21460,0,0,0,0,0,0,87934,0,8115,0,0,74683
20962,1,4,5,1,505,A,1,32220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475,0,0,0,0,34695,0,0,0,0,0,0,0,0,0,278,0,278,0,0,0,0,0,53555,0,0,0,0,0,0,34417,0,5880,0,0,110531
189379,0,3,3,0,308,A,0,59930,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61064,497,0,164,0,102,0,0,4,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,60297,0,5748,0,0,105625
88704,1,0,9,1,217,A,1,11844,0,0,1750,0,0,7783,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24712,0,0,0,0,0,0,0,2859,0,0,0,2859,0,0,0,0,0,41475,0,22596,296,0,0,0,21853,0,23721,0,0,1153883
126531,0,9,0,0,305,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,10800,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,5
196353,0,5,3,1,317,A,0,55458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55458,3922,0,461,0,1260,0,0,0,0,186,0,5829,0,0,0,0,0,30972,0,0,0,0,0,0,49629,0,5953,0,0,83343
236464,0,10,9,0,120,S,0,10308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10308,22316,859,0,0,1669
127000,0,7,2,1,902,S,1,15357,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,15387,0,1421,0,0,1202
82933,1,4,9,1,101,S,0,49692,0,0,0,0,0,51,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49765,0,0,256,0,421,0,0,0,0,0,0,677,0,0,0,0,0,3985,0,2287,0,0,0,0,49088,0,6937,0,0,58579
151348,0,8,3,0,402,A,0,44938,135,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45084,0,0,162,0,1058,0,0,9,0,225,0,1454,0,0,0,0,0,0,0,0,0,0,0,0,43630,0,3107,0,0,59124
31423,1,4,0,1,119,A,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,22248,0,33027,0,10779,0,0,0,0,0,0,0,0,22310,0,0,0,0,0,0,0,0,0,202,5,207,0,0,0,0,0,71456,0,0,1069,21,0,0,22103,0,0,0,0,0
92395,1,0,9,0,207,A,1,2666,0,0,2,0,0,1181,506,26379,41148,14769,0,0,0,0,0,0,0,0,0,0,0,0,6908,0,0,6,0,37648,0,0,0,0,0,0,0,3084,0,0,0,3084,0,0,0,1252,6,0,0,0,5543,0,0,0,34564,0,0,0,0,0
